設置點,Hour,populartimes_count
六六八餐廳,4,0
六六八餐廳,5,0
六六八餐廳,6,0
六六八餐廳,7,0
六六八餐廳,8,0
六六八餐廳,9,0
六六八餐廳,10,0
六六八餐廳,11,17
六六八餐廳,12,18
六六八餐廳,13,14
六六八餐廳,14,0
六六八餐廳,15,0
六六八餐廳,16,0
六六八餐廳,17,68
六六八餐廳,18,100
六六八餐廳,19,90
六六八餐廳,20,61
六六八餐廳,21,0
六六八餐廳,22,0
六六八餐廳,23,0
北寮奎壁山,0,0
北寮奎壁山,1,0
北寮奎壁山,2,0
北寮奎壁山,3,0
北寮奎壁山,4,0
北寮奎壁山,5,0
北寮奎壁山,6,0
北寮奎壁山,7,0
北寮奎壁山,8,22
北寮奎壁山,9,32
北寮奎壁山,10,35
北寮奎壁山,11,37
北寮奎壁山,12,45
北寮奎壁山,13,63
北寮奎壁山,14,81
北寮奎壁山,15,94
北寮奎壁山,16,91
北寮奎壁山,17,66
北寮奎壁山,18,0
北寮奎壁山,19,0
北寮奎壁山,20,0
北寮奎壁山,21,0
北寮奎壁山,22,0
北寮奎壁山,23,0
原豆工坊咖啡專賣店,0,0
原豆工坊咖啡專賣店,1,0
原豆工坊咖啡專賣店,2,0
原豆工坊咖啡專賣店,3,0
原豆工坊咖啡專賣店,4,0
原豆工坊咖啡專賣店,5,0
原豆工坊咖啡專賣店,6,0
原豆工坊咖啡專賣店,7,0
原豆工坊咖啡專賣店,8,0
原豆工坊咖啡專賣店,9,0
原豆工坊咖啡專賣店,10,30
原豆工坊咖啡專賣店,11,34
原豆工坊咖啡專賣店,12,26
原豆工坊咖啡專賣店,13,13
原豆工坊咖啡專賣店,14,8
原豆工坊咖啡專賣店,15,8
原豆工坊咖啡專賣店,16,21
原豆工坊咖啡專賣店,17,13
原豆工坊咖啡專賣店,18,26
原豆工坊咖啡專賣店,19,34
原豆工坊咖啡專賣店,20,43
原豆工坊咖啡專賣店,21,34
原豆工坊咖啡專賣店,22,0
原豆工坊咖啡專賣店,23,0
台灣大餅早午餐,0,0
台灣大餅早午餐,1,0
台灣大餅早午餐,2,0
台灣大餅早午餐,3,0
台灣大餅早午餐,4,0
台灣大餅早午餐,5,31
台灣大餅早午餐,6,40
台灣大餅早午餐,7,56
台灣大餅早午餐,8,56
台灣大餅早午餐,9,62
台灣大餅早午餐,10,53
台灣大餅早午餐,11,56
台灣大餅早午餐,12,56
台灣大餅早午餐,13,40
台灣大餅早午餐,14,0
台灣大餅早午餐,15,0
台灣大餅早午餐,16,0
台灣大餅早午餐,17,0
