設置點,相關係數,MAE,MSE,歷史人潮總數,populartimes 總數,資料筆數
?男子漢鐵板料理,-0.257,20.57,1351.14,9,139,7
O le pain 喔！麵包,0.123,69.83,5586.5,11,430,6
ㄇㄇ的臭豆腐,0.577,30.58,1561.75,23,376,12
二崁杏仁茶館,,,,23,376,3
二崁聚落站,,,,23,376,2
佳朋名產總匯,,,,23,376,2
信興海產行滿500元送餅乾一包,,,,23,376,4
六六八餐廳,,,,23,376,2
北寮奎壁山,,,,23,376,3
原豆工坊咖啡專賣店,-0.302,17.75,482.92,25,236,12
台灣大餅早午餐,0.546,51.86,3187.29,19,380,7
吳記沙拉船&好記蔬食鹽水雞,0.226,23.7,802.7,14,245,10
吹蚵仔的海鮮小吃,,40.6,2698.6,5,204,5
味真香新港鴨肉羹臭豆腐,0.119,56.5,3706.0,25,699,12
四季肉圓專賣店,0.105,19.54,541.85,17,261,13
四面佛 泰善堂,,,,17,261,1
回鄉餐館-(義大利麵 濃湯 炒飯 便當),0.176,34.0,1710.5,20,284,8
多那之澎湖店,-0.027,67.75,4834.58,28,841,12
天人菊名產店,,,,28,841,3
天津蔥抓餅,0.512,49.33,3071.47,59,787,15
好吃的黑糖糕就在水月堂食品行～,,,,59,787,3
媽宮食品工廠,,,,59,787,4
家竹黑砂糖冷熱飲店,0.351,59.0,3522.43,12,425,7
富勝食品企業行,,,,12,425,2
小和食光輕食館,0.551,69.8,5062.2,14,363,5
巴適麻辣鍋,0.526,39.8,2073.2,28,422,10
弗洛伊得飲酒店,0.402,23.73,1159.0,15,264,11
抓包．馬公分店,0.201,21.11,806.44,22,198,9
振發食品行,0.316,37.5,1687.1,17,390,10
掌上明珠,,,,17,390,2
提樂茶飲專賣店,0.088,27.83,819.5,8,175,6
新巴適經典麻辣鍋,0.74,32.4,1997.0,22,336,10
旭西餅舖,,,,22,336,1
曾記滿福堂擔仔麵,0.74,35.89,2063.33,67,691,18
欣欣麵食館,0.6,40.0,2446.0,7,243,6
歡迎來到新光堂（新光堂特產行）,-0.049,40.5,2063.17,7,248,6
泉利餅舖,,,,7,248,2
海城上湯鮮魚粥飯麵館,-0.235,51.4,2857.4,12,269,5
清香活海鮮,,,,12,269,3
源羊肉店,-0.13,30.12,1266.88,9,246,8
滷底撈-澎湖店,-0.456,52.86,2842.29,20,390,7
漁夫才哥企業社,-0.009,37.44,1688.11,11,346,9
澎湖 朝陽路肉圓,-0.171,32.93,1956.07,34,465,14
澎湖伯伴手禮坊,-0.029,41.5,2132.5,10,259,6
澎湖海洋地質公園中心,0.316,64.5,4690.25,11,527,8
澎湖海洋地質公園中心(1F),0.334,57.33,3842.0,17,533,9
澎漁宴餐廳,0.607,22.36,1439.79,46,319,14
福慶樓海鮮餐廳,,,,46,319,1
福鴨鴨肉大王,,,,46,319,4
篤行十村,,,,46,319,3
紐西蘭牛排館,-0.028,29.67,1255.67,15,282,9
美味登場飯麵館,0.413,44.64,2912.27,16,501,11
自由塔,-0.378,33.88,1400.94,60,636,17
莫咖啡,,,,60,636,1
萬泰食品,0.168,47.0,2749.0,12,339,7
葉子的店,-0.064,33.64,2026.64,27,476,14
蒙地卡羅咖啡館,0.181,27.0,912.6,6,139,5
藍21咖啡輕食,,,,6,139,3
跨海大橋(西嶼端),0.235,35.5,1320.83,8,221,6
通樑古榕,0.421,63.83,4138.83,9,392,6
郭家炒滷味,,,,9,392,2
金港黑砂糖剉冰-澎湖店,0.168,33.67,1500.6,43,540,15
金醬府,0.725,33.0,1530.4,53,377,10
阿鳳牛肉河粉,0.311,22.33,881.13,33,350,15
青灣餐廳,,,,33,350,3
黑妞,0.017,49.4,2583.0,6,253,5
