設置點,相關係數,MAE,MSE,歷史人潮總數,populartimes 總數,資料筆數
?男子漢鐵板料理,-0.258,10.71,333.29,9,70,7
O le pain 喔！麵包,0.234,56.83,3811.83,11,352,6
ㄇㄇ的臭豆腐,,1.92,4.42,23,0,12
二崁杏仁茶館,,,,23,0,3
二崁聚落站,,,,23,0,2
佳朋名產總匯,,,,23,0,2
信興海產行滿500元送餅乾一包,,,,23,0,4
六六八餐廳,,,,23,0,2
北寮奎壁山,,,,23,0,3
原豆工坊咖啡專賣店,0.157,33.42,1343.58,25,424,12
台灣大餅早午餐,0.401,59.71,4348.0,19,435,7
吳記沙拉船&好記蔬食鹽水雞,0.341,33.2,1568.2,14,340,10
吹蚵仔的海鮮小吃,,37.6,2306.8,5,189,5
味真香新港鴨肉羹臭豆腐,0.106,42.5,2455.0,25,531,12
四季肉圓專賣店,0.232,26.38,1065.92,17,350,13
四面佛 泰善堂,,,,17,350,1
回鄉餐館-(義大利麵 濃湯 炒飯 便當),0.085,41.5,3028.5,20,344,8
多那之澎湖店,0.434,65.67,4698.17,28,816,12
天人菊名產店,,,,28,816,3
天津蔥抓餅,0.501,35.73,1680.0,59,583,15
好吃的黑糖糕就在水月堂食品行～,,,,59,583,3
媽宮食品工廠,,,,59,583,4
家竹黑砂糖冷熱飲店,0.426,55.86,3237.0,12,403,7
富勝食品企業行,,,,12,403,2
小和食光輕食館,0.696,50.8,2771.6,14,268,5
巴適麻辣鍋,0.541,18.3,521.9,28,207,10
弗洛伊得飲酒店,0.341,20.45,781.73,15,228,11
抓包．馬公分店,0.186,27.11,1298.0,22,252,9
振發食品行,-0.01,53.1,3651.3,17,546,10
掌上明珠,,,,17,546,2
提樂茶飲專賣店,0.756,17.0,323.67,8,110,6
新巴適經典麻辣鍋,0.848,25.7,1089.1,22,269,10
旭西餅舖,,,,22,269,1
曾記滿福堂擔仔麵,0.758,32.5,1746.5,67,630,18
欣欣麵食館,0.517,32.0,1538.33,7,195,6
歡迎來到新光堂（新光堂特產行）,-0.17,27.83,980.83,7,172,6
泉利餅舖,,,,7,172,2
海城上湯鮮魚粥飯麵館,-0.271,45.8,2194.2,12,241,5
清香活海鮮,,,,12,241,3
源羊肉店,-0.075,25.62,901.88,9,210,8
滷底撈-澎湖店,-0.682,75.14,5931.71,20,546,7
漁夫才哥企業社,0.205,63.33,5010.44,11,579,9
澎湖 朝陽路肉圓,-0.085,35.0,2128.14,34,494,14
澎湖伯伴手禮坊,0.38,51.83,2828.5,10,321,6
澎湖海洋地質公園中心,-0.229,50.25,2570.5,11,413,8
澎湖海洋地質公園中心(1F),0.328,50.78,2633.89,17,474,9
澎漁宴餐廳,0.609,19.57,1128.0,46,280,14
福慶樓海鮮餐廳,,,,46,280,1
福鴨鴨肉大王,,,,46,280,4
篤行十村,,,,46,280,3
紐西蘭牛排館,0.281,22.11,641.22,15,212,9
純意居蔬食超市,,,,15,212,4
美味登場飯麵館,0.4,40.0,2292.36,16,450,11
自由塔,-0.211,38.41,1949.12,60,713,17
莫咖啡,,,,60,713,1
萬泰食品,0.363,52.71,3281.29,12,379,7
葉子的店,0.026,19.64,719.5,27,280,14
蒙地卡羅咖啡館,0.335,35.6,1709.6,6,182,5
藍21咖啡輕食,,,,6,182,3
跨海大橋(西嶼端),-0.376,35.5,1352.83,8,221,6
通樑古榕,0.524,54.5,2995.83,9,336,6
金港黑砂糖剉冰-澎湖店,0.463,37.0,1781.27,43,590,15
金醬府,0.75,20.5,529.9,53,252,10
阿鳳牛肉河粉,0.241,26.6,1052.87,33,414,15
青灣餐廳,,,,33,414,3
黑妞,0.254,47.6,2524.0,6,244,5
