設置點,相關係數,MAE,MSE,歷史人潮總數,populartimes 總數,資料筆數
?男子漢鐵板料理,-0.257,12.86,497.43,9,85,7
O le pain 喔！麵包,0.175,66.17,5022.5,11,408,6
ㄇㄇ的臭豆腐,0.411,32.58,1796.58,23,400,12
二崁杏仁茶館,,,,23,400,3
二崁聚落站,,,,23,400,2
佳朋名產總匯,,,,23,400,2
信興海產行滿500元送餅乾一包,,,,23,400,4
六六八餐廳,,,,23,400,2
北寮奎壁山,,,,23,400,3
原豆工坊咖啡專賣店,-0.015,32.75,1242.92,25,416,12
台灣大餅早午餐,0.304,47.86,2974.14,19,352,7
吳記沙拉船&好記蔬食鹽水雞,,1.4,2.6,14,0,10
吹蚵仔的海鮮小吃,,42.4,2956.0,5,213,5
味真香新港鴨肉羹臭豆腐,0.226,43.33,2438.67,25,541,12
四季肉圓專賣店,0.086,20.54,675.15,17,274,13
四面佛 泰善堂,,,,17,274,1
回鄉餐館-(義大利麵 濃湯 炒飯 便當),0.179,36.25,1947.0,20,302,8
多那之澎湖店,0.169,60.25,4055.92,28,751,12
天人菊名產店,,,,28,751,3
天津蔥抓餅,0.481,34.13,1478.93,59,559,15
好吃的黑糖糕就在水月堂食品行～,,,,59,559,3
媽宮食品工廠,,,,59,559,4
家竹黑砂糖冷熱飲店,0.45,51.0,2652.43,12,369,7
富勝食品企業行,,,,12,369,2
小和食光輕食館,-0.623,25.6,790.8,14,142,5
巴適麻辣鍋,0.537,27.8,983.0,28,302,10
弗洛伊得飲酒店,0.295,17.18,537.91,15,192,11
抓包．馬公分店,0.235,15.0,413.44,22,143,9
振發食品行,0.481,51.4,3023.0,17,529,10
掌上明珠,,,,17,529,2
提樂茶飲專賣店,0.389,22.83,556.17,8,145,6
新巴適經典麻辣鍋,0.562,18.5,781.5,22,197,10
旭西餅舖,,,,22,197,1
曾記滿福堂擔仔麵,0.759,30.83,1498.61,67,600,18
欣欣麵食館,0.618,29.33,1321.0,7,179,6
歡迎來到新光堂（新光堂特產行）,-0.203,29.67,1136.0,7,183,6
泉利餅舖,,,,7,183,2
海城上湯鮮魚粥飯麵館,-0.273,51.8,2817.8,12,271,5
清香活海鮮,,,,12,271,3
源羊肉店,,1.12,1.38,9,0,8
滷底撈-澎湖店,0.396,33.57,1146.14,20,255,7
漁夫才哥企業社,0.073,59.11,4279.33,11,541,9
澎湖 朝陽路肉圓,-0.093,43.21,3244.5,34,609,14
澎湖伯伴手禮坊,0.771,50.67,2613.67,10,314,6
澎湖海洋地質公園中心,-0.16,67.62,4668.88,11,552,8
澎湖海洋地質公園中心(1F),0.279,64.56,4266.56,17,598,9
澎漁宴餐廳,0.608,15.64,577.5,46,225,14
福慶樓海鮮餐廳,,,,46,225,1
福鴨鴨肉大王,,,,46,225,4
篤行十村,,,,46,225,3
美味登場飯麵館,0.36,32.36,1444.18,16,366,11
自由塔,-0.25,39.0,1691.94,60,723,17
莫咖啡,,,,60,723,1
萬泰食品,0.344,64.57,4968.29,12,462,7
葉子的店,0.087,20.21,754.93,27,288,14
蒙地卡羅咖啡館,0.433,43.2,2721.2,6,220,5
藍21咖啡輕食,,,,6,220,3
跨海大橋(西嶼端),0.349,22.67,552.0,8,144,6
通樑古榕,0.729,56.33,3252.33,9,347,6
金港黑砂糖剉冰-澎湖店,0.38,41.53,2211.93,43,658,15
金醬府,0.716,28.0,1007.6,53,327,10
阿鳳牛肉河粉,0.242,26.2,1066.6,33,408,15
青灣餐廳,,,,33,408,3
黑妞,0.32,47.6,2427.2,6,244,5
