設置點,相關係數,MAE,MSE,歷史人潮總數,populartimes 總數,資料筆數
?男子漢鐵板料理,-0.258,19.29,1176.71,9,130,7
O le pain 喔！麵包,0.17,67.5,5311.83,11,416,6
ㄇㄇ的臭豆腐,0.497,29.5,1452.33,23,363,12
二崁杏仁茶館,,,,23,363,3
二崁聚落站,,,,23,363,2
佳朋名產總匯,,,,23,363,2
信興海產行滿500元送餅乾一包,,,,23,363,4
六六八餐廳,,,,23,363,2
北寮奎壁山,,,,23,363,3
原豆工坊咖啡專賣店,-0.273,21.58,616.08,25,282,12
台灣大餅早午餐,0.571,43.71,2252.57,19,323,7
吳記沙拉船&好記蔬食鹽水雞,0.326,19.2,530.0,14,200,10
吹蚵仔的海鮮小吃,,34.8,2068.8,5,175,5
味真香新港鴨肉羹臭豆腐,0.162,50.17,2990.67,25,623,12
四季肉圓專賣店,0.073,23.15,772.23,17,308,13
四面佛 泰善堂,,,,17,308,1
回鄉餐館-(義大利麵 濃湯 炒飯 便當),0.217,41.88,2501.88,20,347,8
多那之澎湖店,0.065,69.58,5082.75,28,863,12
天人菊名產店,,,,28,863,3
天津蔥抓餅,0.515,51.13,3338.07,59,814,15
好吃的黑糖糕就在水月堂食品行～,,,,59,814,3
媽宮食品工廠,,,,59,814,4
家竹黑砂糖冷熱飲店,0.311,55.71,3183.14,12,402,7
小和食光輕食館,0.622,69.6,5041.2,14,362,5
小門鯨魚洞站,-0.674,55.0,3308.75,10,450,8
巴適麻辣鍋,0.642,36.1,1686.5,28,385,10
弗洛伊得飲酒店,0.401,24.27,1240.09,15,270,11
抓包．馬公分店,0.203,21.78,868.22,22,204,9
振發食品行,0.2,37.4,1868.6,17,389,10
掌上明珠,,,,17,389,2
提樂茶飲專賣店,-0.0,42.67,1913.33,8,264,6
新巴適經典麻辣鍋,0.733,33.1,2074.9,22,343,10
旭西餅舖,,,,22,343,1
曾記滿福堂擔仔麵,0.731,35.94,2174.39,67,692,18
欣欣麵食館,0.607,41.17,2597.83,7,250,6
歡迎來到新光堂（新光堂特產行）,-0.065,41.33,2150.67,7,253,6
泉利餅舖,,,,7,253,2
津旺素食,0.388,33.29,1927.57,9,236,7
海城上湯鮮魚粥飯麵館,-0.276,53.2,3080.4,12,278,5
清香活海鮮,,,,12,278,3
源羊肉店,-0.126,31.12,1347.88,9,254,8
滷底撈-澎湖店,-0.685,51.0,2723.86,20,377,7
漁夫才哥企業社,0.064,40.67,1979.11,11,375,9
澎湖 朝陽路肉圓,-0.195,38.29,2765.43,34,540,14
澎湖伯伴手禮坊,-0.04,49.0,2964.33,10,304,6
澎湖海洋地質公園中心,0.484,68.25,5225.5,11,557,8
澎湖海洋地質公園中心(1F),0.354,62.67,4606.67,17,581,9
澎漁宴餐廳,0.612,23.5,1566.64,46,335,14
玻玻飲食店,0.285,52.09,3234.64,21,594,11
福慶樓海鮮餐廳,,,,21,594,1
福鴨鴨肉大王,,,,21,594,4
篤行十村,,,,21,594,3
紐西蘭牛排館,-0.059,27.11,1047.78,15,259,9
美味登場飯麵館,0.412,40.82,2692.64,16,459,11
自由塔,0.011,31.41,1139.18,60,594,17
莫咖啡,,,,60,594,1
萬泰食品,0.129,49.29,3127.0,12,355,7
葉子的店,-0.101,25.29,1135.71,27,359,14
蒙地卡羅咖啡館,0.277,25.8,820.6,6,133,5
跨海大橋(西嶼端),-0.057,37.0,1479.0,8,230,6
通樑古榕,0.791,69.67,4923.67,9,427,6
金港黑砂糖剉冰-澎湖店,0.104,35.07,1707.07,43,561,15
金醬府,0.701,35.9,1783.3,53,406,10
阿鳳牛肉河粉,0.321,23.13,939.4,33,362,15
麗洋手作蛋糕,0.366,42.33,2155.67,9,261,6
黑妞,0.0,52.8,2959.2,6,270,5
龍門小吃部,,,,6,270,1
龍門閉鎖陣地,,,,6,270,4
