設置點,相關係數,MAE,MSE,歷史人潮總數,populartimes 總數,資料筆數
?男子漢鐵板料理,-0.258,17.43,950.0,9,117,7
O le pain 喔！麵包,0.103,46.83,2791.5,11,292,6
ㄇㄇ的臭豆腐,0.53,31.17,1623.67,23,383,12
二崁杏仁茶館,,,,23,383,3
二崁聚落站,,,,23,383,2
佳朋名產總匯,,,,23,383,2
信興海產行滿500元送餅乾一包,,,,23,383,4
六六八餐廳,,,,23,383,2
北寮奎壁山,,,,23,383,3
原豆工坊咖啡專賣店,0.224,42.08,2771.58,25,528,12
台灣大餅早午餐,0.439,50.86,3100.0,19,373,7
吳記沙拉船&好記蔬食鹽水雞,0.183,47.2,3332.6,14,480,10
吹蚵仔的海鮮小吃,,39.4,2539.0,5,198,5
味真香新港鴨肉羹臭豆腐,0.211,44.5,2497.5,25,555,12
四季肉圓專賣店,0.09,19.69,580.92,17,263,13
四面佛 泰善堂,,,,17,263,1
回鄉餐館-(義大利麵 濃湯 炒飯 便當),0.226,41.0,2430.75,20,340,8
多那之澎湖店,0.278,61.0,4166.83,28,760,12
天人菊名產店,,,,28,760,3
天津蔥抓餅,0.491,38.87,1932.33,59,630,15
好吃的黑糖糕就在水月堂食品行～,,,,59,630,3
媽宮食品工廠,,,,59,630,4
家竹黑砂糖冷熱飲店,0.537,45.43,2123.71,12,330,7
富勝食品企業行,,,,12,330,2
小和食光輕食館,0.211,39.4,1594.6,14,211,5
巴適麻辣鍋,0.706,31.7,1279.1,28,341,10
弗洛伊得飲酒店,0.361,21.64,1027.64,15,241,11
抓包．馬公分店,0.187,26.89,1293.33,22,250,9
振發食品行,0.18,45.7,2396.1,17,472,10
掌上明珠,,,,17,472,2
提樂茶飲專賣店,0.696,44.5,2061.17,8,275,6
新巴適經典麻辣鍋,0.67,28.0,1628.6,22,292,10
旭西餅舖,,,,22,292,1
曾記滿福堂擔仔麵,0.747,40.0,2536.56,67,765,18
欣欣麵食館,0.581,35.17,1878.5,7,214,6
歡迎來到新光堂（新光堂特產行）,-0.196,33.0,1390.33,7,203,6
泉利餅舖,,,,7,203,2
海城上湯鮮魚粥飯麵館,-0.313,56.6,3335.0,12,295,5
清香活海鮮,,,,12,295,3
源羊肉店,-0.115,28.0,1100.75,9,229,8
滷底撈-澎湖店,-0.315,36.71,1412.71,20,277,7
漁夫才哥企業社,0.165,59.78,4120.44,11,547,9
澎湖 朝陽路肉圓,-0.12,38.43,2536.86,34,542,14
澎湖伯伴手禮坊,0.031,38.17,1813.83,10,239,6
澎湖海洋地質公園中心,-0.191,63.25,4181.25,11,517,8
澎湖海洋地質公園中心(1F),0.179,63.67,4215.0,17,590,9
澎漁宴餐廳,0.58,20.93,1114.36,46,299,14
福慶樓海鮮餐廳,,,,46,299,1
福鴨鴨肉大王,,,,46,299,4
篤行十村,,,,46,299,3
紐西蘭牛排館,0.284,24.22,763.11,15,231,9
純意居蔬食超市,,,,15,231,4
美味登場飯麵館,0.315,48.55,3610.91,16,544,11
自由塔,0.244,40.12,1706.24,60,742,17
莫咖啡,,,,60,742,1
萬泰食品,0.205,46.86,2636.57,12,338,7
葉子的店,,1.93,4.64,27,0,14
蒙地卡羅咖啡館,0.491,35.2,1578.4,6,180,5
藍21咖啡輕食,,,,6,180,3
跨海大橋(西嶼端),-0.151,53.17,3328.5,8,327,6
通樑古榕,0.343,55.0,3094.67,9,339,6
郭家炒滷味,,,,9,339,2
金港黑砂糖剉冰-澎湖店,0.483,41.33,2227.6,43,655,15
金醬府,0.737,26.0,893.8,53,307,10
阿鳳牛肉河粉,0.3,25.27,1062.47,33,394,15
青灣餐廳,,,,33,394,3
黑妞,0.394,43.4,1947.0,6,223,5
